user,latitude,longitude,date,day_of_week,hour,categoria,timestamp
User_5399,-23.587684,-46.678294,2018-07-05,Tuesday,11,restaurant,1530629327524
User_2549,-1.711638,-48.879581,2018-07-05,Wednesday,1,grocery_or_supermarket,1530678110030
User_336,-19.925696,-43.940605,2018-07-05,Wednesday,6,plumber,1530696866193
User_596,-3.084843,-60.067107,2018-07-05,Wednesday,5,storage,1530698357427
User_4162,-23.487201,-46.613209,2018-07-05,Wednesday,6,cultural_venue,1530698167833
User_3486,-22.786837,-43.31218,2018-07-05,Tuesday,16,bar,1530645931616
User_2749,-16.041743,-48.036647,2018-07-05,Tuesday,22,bank,1530668764262
User_230,-18.934727,-48.316658,2018-07-05,Tuesday,19,school,1530657761109
User_2398,-20.196165,-40.273928,2018-07-05,Tuesday,23,restaurant,1530670536609
User_5942,-23.483624,-46.691462,2018-07-05,Tuesday,19,restaurant,1530656750545
User_1908,-3.117465,-59.975317,2018-07-05,Tuesday,19,beauty_salon,1530662021328
User_1714,-23.634123,-46.545265,2018-07-05,Tuesday,23,hospital,1530670247740
User_2204,-8.097804,-34.885166,2018-07-05,Tuesday,17,car_wash,1530650268178
User_4201,-15.610609,-56.07203,2018-07-05,Tuesday,20,place_of_worship,1530662599971
User_863,-3.812604,-38.576702,2018-07-05,Tuesday,21,gym,1530663570939
User_670,-27.597413,-48.548025,2018-07-05,Tuesday,20,store,1530661386101
User_2174,-12.95734,-38.495776,2018-07-05,Tuesday,21,store,1530665525910
User_5211,-8.086222,-34.894459,2018-07-05,Monday,21,restaurant,1531180893784
User_3439,-2.511356,-44.294662,2018-07-05,Monday,20,shoe_store,1531178218803
User_2667,-3.758112,-38.553766,2018-07-05,Monday,23,restaurant,1531188817969
User_1842,-7.159778,-34.841707,2018-07-05,Monday,23,storage,1531190119600
User_4235,-8.040353,-34.954597,2018-07-05,Monday,23,university,1531189308581
User_2644,-17.870159,-41.487237,2018-07-05,Monday,23,lodging,1531190563126
User_2076,-22.314114,-49.059358,2018-07-05,Monday,23,school,1531188443563
User_1844,-22.423305,-45.452421,2018-07-12,Monday,21,cafe,1531184259558
User_3097,-23.188197,-46.856168,2018-07-12,Monday,17,bakery,1531166839614
User_1684,-22.922226,-43.633588,2018-07-12,Monday,21,bus_station,1531180818532
User_5052,-3.808411,-38.537562,2018-07-12,Monday,20,cultural_venue,1531180372740
User_2984,-29.715875,-49.991833,2018-07-12,Monday,21,electronics_store,1531180901621
User_5167,-23.013906,-43.462353,2018-07-12,Saturday,16,store,1530991864533
User_4989,-16.47942,-54.617955,2018-07-12,Monday,20,car_repair,1531181131769
